title,goals,movementcluster,time_period,country,location,location_desc,pcs,methods_1,methods_2,methods_3,methods_4,methods_5,methods_6,methods_addl,segment_length,leaders,partners,allies,social_elites,opponents,opp_nvresponses,campaigner_violence,repressive_violence,cluster,classification,group,groups_1,groups_2,groups_3,groups_4,groups_5,groups_6,success_goal,success_survival,success_growth,success_total,success_notes,url
Newark residents and students campaign to stop the building of 279 MW power plant (2013-2014),To stop the construction of a 279 Megawatt power plant at the University of Delaware STAR campus,,"June, 2013 to July, 2014",['United States'],"Newark, Delaware",,"['(Mainly or Initiated by) Women', 'Local Community or Neighborhood-level Campaign']","['008. Banners, posters, and displayed communications', '015. Group lobbying', '047. Assemblies of protest or support']","['003. Declarations by organizations and institutions', '004. Signed public statements', '006. Group or mass petitions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '015. Group lobbying', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '015. Group lobbying', '047. Assemblies of protest or support', '048. Protest meetings']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '034. Vigils', '047. Assemblies of protest or support', '048. Protest meetings']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '047. Assemblies of protest or support', '048. Protest meetings', '175. Overloading of facilities', '193. Overloading of administrative systems']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '047. Assemblies of protest or support', '048. Protest meetings', '193. Overloading of administrative systems']",,65 Days,"Newark Residents Against the Power Plant (NRAPP)
Amy Roe
Jen Wallace","Blue Hens for Clean Air
Delaware Chapter of Sierra Club
Delaware Audubon Society
University of Delaware’s Sustainability Task Force
University of Delaware Students
University of Delaware Alumni","John Kowalko 
Councilman Mark Morehead 
ACLU",None,The Data Center,Series of articles and opinion pieces in local newpapers. Mobilized union workers to public city meetings on TDC construction.,None,None,['Environment'],['Defense'],"['students', 'residents']","['Amy Roe', 'Jen Wallace', 'Delaware Chapter of Sierra Club']","['Newark Residents Against the Power Plant (NRAPP)', 'John Kowalko', 'University of Delaware Students', 'University of Delaware Alumni']",,,"['Blue Hens for Clean Air', 'Councilman Mark Morehead', ""University of Delaware's Sustainability Task Force""]",,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The campaign had complete success. In addition, the campaign built an advocacy network that continued to different issues after winning the initial campaign.",https://nvdatabase.swarthmore.edu/content/newark-residents-and-students-campaign-stop-building-279-mw-power-plant-2013-2014
"Atlanta unions campaign to unionize Atlanta Olympics, 1991-1993","Union wages, union benefits, and jobs and union apprenticeships for the local community.",,,['United States'],"Atlanta, Georgia",,"['(Mainly or Initiated by) People of Color', 'Local Community or Neighborhood-level Campaign']",['003. Declarations by organizations and institutions'],,"['003. Declarations by organizations and institutions', '005. Declarations of indictment and intention']","['001. Public speeches', '003. Declarations by organizations and institutions', '004. Signed public statements', '005. Declarations of indictment and intention', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '011. Records, radio, and television', '032. Taunting officials', '038. Marches', ""078. Workers' boycott"", '173. Nonviolent occupation']","['001. Public speeches', '008. Banners, posters, and displayed communications', '016. Picketing', '173. Nonviolent occupation']","['009. Leaflets, pamphlets, and books']",,6 months,Stewart Acuff - American Labor Council,"Building Trades Council, Reverend Jesse Jackson, American Civil Liberties Union, AFL-CIO, Homeless Groups in Atlanta","Maynard Jackson, Bill Campbell",,Atlanta Committee for the Olympic Games,No nonviolent responses of opponent.,No campaigner violence.,No repressive violence.,"['Democracy', 'Economic Justice']",['Change'],"['Labor unions', 'construction workers']","['American Labor Council', 'Building Trades Council', 'Maynard Jackson']",,,"['AFL-CIO (American Federation of Labor - Congress of Industrial Organizations)', 'American Civil Liberties Union', 'International Brotherhood of Electrical workers']",,['Bill Campbell'],4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,,https://nvdatabase.swarthmore.edu/content/atlanta-unions-campaign-unionize-atlanta-olympics-1991-1993
"University of Missouri students protest against racial discrimination and harassment, 2015","I. We demand that the University of Missouri system president, Tim Wolfe, write a handwritten apology for the Concerned Students 1950 demonstrators and holds a press conference in the Mizzou Student Center reading the letter. In the letter and at the press conference, Tim Wolfe must acknowledge his white male privilege, recognize that systems of oppression exist, and provide a verbal commitment to fulfilling Concerned Student 1950 demands. We want Tim Wolfe to admit to his gross negligence, allowing his driver to hit one of the demonstrators, consenting to the physical violence of bystanders, and Leslie refusing to intervene when Columbia Police Department use excessive force with demonstrators.

II. We demand the immediate removal of Tim Wolfe as UM system president. After his removal a new amendment to the UM system policies must be established to have all future UM president and Chancellor positions be selected by collective of students, staff, and faculty of diverse backgrounds.

III. We demand that the University of Missouri meets the Legion of Black Collegians' demands that were presented in 1969 for the betterment of the black community.

IV. We demand that by the academic year 2017–2018, the University of Missouri increases the percentage of black faculty and staff campus wide to 10%.

V. We demand that the University of Missouri compose a strategic 10 year plan by May 1, 2016 that will increase retention rates for marginalize students, sustain diversity curriculum and training, and promote a more safe and inclusive campus.

VII. We demand that the University of Missouri increases funding for resources for the University of Missouri Counseling Center for the purpose of hiring additional mental health professionals; particularly those of color, boosting the mental health outreach and programming across campus, increasing campus-wide awareness and visibility of the counseling center, and reducing lengthy wait times for prospective clients.

VIII. We demand at the University of Missouri increases funding, resources, and personnel for the social justices center on campus for the purpose of hiring additional professionals, particularly those of color, boosting out reach and programming across campus, and increasing campus-wide awareness and visibility.",,"September, 2015 to November, 2015",['United States'],"Columbia, Missouri",University of Missouri,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color']","['001. Public speeches', '008. Banners, posters, and displayed communications', '038. Marches']",['002. Letters of opposition or support'],"['001. Public speeches', '008. Banners, posters, and displayed communications', '039. Parades', '047. Assemblies of protest or support']",['005. Declarations of indictment and intention'],"['159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '162. Sit-in']","['006. Group or mass petitions', '037. Singing', '050. Teach-ins', '060. Suspension of social and sports activities']",,8 days,Concerned Student 1950,"Legion of Black Collegiates, Jewish Students Organization","Missouri Tigers Black student athletes, Bethel Baptist Churchgoers","Gov. Jay Nixon, U.S. Sen. Claire McCaskill and Rep. Steve Cookson, R-Butler County","UM System, UM System President Tim Wolfe",,,Missouri police combated student protesters at the Homecoming Parade with pepper spray.,['Human Rights'],['Change'],['Undergraduate and graduate students'],['Concerned Student 1950'],,['Bethel Baptist Churchgoers'],['Jewish Students Organization'],['Mizzou Tigers'],['Legion of Black Collegians'],4 out of 6 points,0.5 out of 1 points,2 out of 3 points,6.5 out of 10 points,"Out of the 8 demands, only 3 were met. However, the most difficult of the 8, the removal of UM System President Tim Wolfe, was sustained. Therefore, I rank their success a 4.",https://nvdatabase.swarthmore.edu/content/university-missouri-students-protest-against-racial-discrimination-and-harassment-2015
"Columbia University students win divestment from private prison companies, 2014-2015.","There were three main goals: for the University to divest all shares in two private prison corporations (CCA and G4S), for Columbia’s fund manager to contact the 36 other firms that the school’s endowment was invested in and ask them to also divest from CCA and G4S, and for Columbia to publicize its full financial portfolio.",,"February, 2014 to 27 April, 2015",['United States'],New York City / New York,Columbia University,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color']","['002. Letters of opposition or support', '015. Group lobbying', '050. Teach-ins']",['002. Letters of opposition or support'],,"['002. Letters of opposition or support', '006. Group or mass petitions', '008. Banners, posters, and displayed communications', '016. Picketing']","['016. Picketing', '178. Guerrilla theatre']","['002. Letters of opposition or support', '038. Marches', '175. Overloading of facilities']","['006. Group or mass petitions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '037. Singing', '038. Marches']",2.6 months,"Asha Rosa CC'17 
Columbia Prison Divest","Columbia Prison Reform & Education Project
Columbia University Students Against Mass Incarceration (SAMI)
Black Students Organization (BSO)
Columbia Students for Justice in Palestine (SJP)
Radical C.U.N.T.S.",unnamed Black organizers in Harlem,,"President Lee Bollinger 
The Trustees of Columbia University",Police attended the CPD die-in supposedly to intimidate protestors.,No campaigner violence.,No repressive violence.,['Human Rights'],['Change'],"['College students', 'Black students']","['black students', 'Columbia Prison Divest']",,,,,"['University Senate’s Student Affairs Committee', 'Advisory Committee on Socially Responsible Investing']",5 out of 6 points,1 out of 1 points,2 out of 3 points,8 out of 10 points,"CPD achieved its goals of divestment from CCA and G4S as well as the goal of contacting the 36 other firms that the school’s endowment was invested in with recommendations of divestment from CCA and G4S. However, Columbia's full financial profile is still not accessible to the public or to Columbia students.",https://nvdatabase.swarthmore.edu/content/columbia-university-students-win-divestment-private-prison-companies-2014-2015
"New York University students sit-in for NYU to change its Labor Code of Conduct (End Deathtraps Campaign, 2013-2014)","""SLAM is calling on NYU to require all university licensees to sign onto the Accord on Fire and Building Safety in Bangladesh, a legally binding agreement between brands and unions to fix factory conditions in Bangladesh.""",,"9 September, 2013 to 1 May, 2014",['United States'],"New York City, New York",New York University Campus,['(Mainly or Initiated by) Student Participants'],"['002. Letters of opposition or support', 'Other...']",['047. Assemblies of protest or support'],['037. Singing'],['002. Letters of opposition or support'],['Other...'],['162. Sit-in'],,38 days,New York University Student and Labor Action Movement (SLAM),Students,United Students Against Sweatshops,,"President John Sexton, Lynne Brown",,,,['Human Rights'],['Change'],,,,,,,,6 out of 6 points,1 out of 1 points,1 out of 3 points,8 out of 10 points,NYU's president John Sexton announced the school is going to implement the changes SLAM recommended to its Labor Code of Conduct requiring all of its licensees to sign onto the Accord on Fire and Building Safety in Bangladesh. SLAM's infrastructure remained throughout and after the campaign. SLAM organized a number of events that a number of students not a part of SLAM attended.,https://nvdatabase.swarthmore.edu/content/new-york-university-students-sit-nyu-change-its-labor-code-conduct-end-deathtraps-campaign-2
"Brown University students campaign for Brown to cancel contract with Adidas, 2012-2013",Have Brown University cancel its apparel contract with Adidas because Adidas failed to pay its contractually obligated severance to the laid of workers of PT Kizone.,Student Anti-Sweatshop Labor Movement (1990s - 2010s),"November, 2012 to 24 April, 2013",['United States'],"Providence, RI",Brown University,"['(Mainly or Initiated by) Student Participants', 'Included Participation by More Than One Social Class', 'Local Community or Neighborhood-level Campaign']","['001. Public speeches', '006. Group or mass petitions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '021. Delivering symbolic objects', '038. Marches', '047. Assemblies of protest or support', '052. Silence']",,,"['004. Signed public statements', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '021. Delivering symbolic objects', '038. Marches', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '047. Assemblies of protest or support']","['001. Public speeches', '034. Vigils', '037. Singing', '038. Marches']",,1 month,Brown Student Labor Alliance,"United Students Against Sweatshops (USAS)
PT Kizone Workers","Workers Right Consortium (WRC)
Brown MEChA
Brown Queer Alliance
Brown Divest Coal
Brown SJP",None,"Brown University
President Praxon
Vice President of Campus Life and Student Services (Margaret Klawunn)
Adidas Corporation",No nonviolent responses,No campaigner violence,No repressive violence,['Economic Justice'],['Defense'],"['students', 'labor activists']","['United Students Against Sweatshops (USAS)', 'Workers Rights Consortium', 'PT Kizone Workers']",,,,,"['Brown MEChA', 'Brown Queer Alliance', 'Brown Divest Coal', 'Brown SJP']",6 out of 6 points,1 out of 1 points,1 out of 3 points,8 out of 10 points,"While the students failed to get the school to cancel the contract, they managed to get the school to agree not to renew the contract, and Adidas agreed to compensate the workers. Therefore, SLA achieved its overarching goal of economic justice for the PT Kizone employees, and the students had a successful campaign.

The success of the campaign to get Adidas to pay the workers must be seen in the larger context of the whole movement of anti-Adidas campaigns across America.

The movement never reached a large number of Brown Students and the largest gatherings had 30-50 people at them.",https://nvdatabase.swarthmore.edu/content/brown-university-students-campaign-brown-cancel-contract-adidas-2012-2013
"New York University (NYU) student activists win wage increase on campus, 2016","""The Student Labor Action Movement encourages NYU to value its student workers by providing a livable wage. The livable wage would be defined as fifteen dollars an hour for student workers."" (SLAM: Petition for NYU to Pay Workers $15 an Hour)",Student Anti-Sweatshop Labor Movement (1990s - 2010s),"18 September, 2015 to 24 March, 2016",['United States'],"New York City, New York",,['(Mainly or Initiated by) Student Participants'],['162. Sit-in'],"['006. Group or mass petitions', '038. Marches']",['047. Assemblies of protest or support'],,,['001. Public speeches'],,31 days,"Roberto Ascherman, President of the Student Labor Action Movement (SLAM) at NYU.
Hannah Fullerton, spokesperson of SLAM.",United Students Against Sweatshops (USAS).,"SEIU Healthcare Workers Union, Hotel Trades Council, Teamsters UPS Union Members, Graduate Student Organizing Committee (GSOC), NYU Faculty Against the Sexton Plan, the Committee to Save Cooper Union, Whose NYU?, Coalition for Fair Labor, Roosevelt Institute, Union of Clerical, Administrative and Technical (UCATS) at NYU, the NYU Adjuncts and New School Part-time Faculty Union (ACT-UAW Local 7902), Washington Square South Citizens Action Committee, Community Action Alliance on NYU 2031 (CAAN 2031).",Governor Andrew Cuomo (Governor of New York State).,"NYU President Andrew Hamilton, Former NYU President John Sexton, Beth Haymaker NYU Director of Global Programs, NYU Board of Trustees.",Not known.,Not known.,Not known.,['Economic Justice'],['Change'],['NYU students'],,"['SEIU Healthcare Workers Union', 'Hotel Trades Council', 'Teamsters UPS Union Members']","['NYU Faculty Against the Sexton Plan', 'NYU’s Student Labor Action Movement (SLAM); the Committee to Save Cooper Union; NYU’s Graduate Student Organizing Committee (GSOC); Whose NYU?; Coalition for Fair Labor; Roosevelt Institute; Union of Cleric']",,,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"NYU SLAM achieved all the goals of its #Fightfor15 campaign. Following these successes, SLAM increased its number of allies and used this momentum to launch its Student Trustees Campaign.",https://nvdatabase.swarthmore.edu/content/new-york-university-nyu-student-activists-win-wage-increase-campus-2016
"San Francisco strippers win right to form a union, 1996-1997","Demand the strip club management allow the dancers to form a union and thus negotiate to abolish discriminatory policies and create better working conditions, such as a pay rise, a guarantee for sick leaves, and a prohibition on one-way windows and cameras.",,"October, 1996 to March, 1997",['United States'],"San Francisco, California",San Francisco North Beach,"['Included Innovative Organizational Forms/Communication Forms', 'Local Community or Neighborhood-level Campaign']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '110. Slowdown strike']",,,,,"['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '016. Picketing', '038. Marches', '047. Assemblies of protest or support']",,1 month,"Dancers at The Lusty Lady Theater
Exotic Dancers Union (EDU) of the Service Employees International Union (SEIU)","Local 790 division of the Service Employees International Union (SEIU)
Exotic Dancers Alliance (EDA)
Bay Area Sex Worker Advocacy Network (BAYSWAN)",Members of the local community and public who sympathized with the dancers' cause,Not known,The Lusty Lady Theater management,,No campaigner violence,The club management locked out all dancers who voted yes for a union and fired the leading activists of this campaign.,"['Economic Justice', 'Human Rights']",['Change'],['Sex workers'],"['Local 790 division of the Service Employees International Union (SEIU)', 'Exotic Dancers Alliance (EDA)', 'Bay Area Sex Worker Advocacy Network (BAYSWAN)']",,,,,,5 out of 6 points,1 out of 1 points,3 out of 3 points,9 out of 10 points,"The reason why this campaign is given 5 out 6 points of success is because the dancers didn't get all their specific demands met, but they managed to achieve most of the goals – including forming a union, abolishing discriminatory policies, and creating better working conditions.",https://nvdatabase.swarthmore.edu/content/san-francisco-strippers-win-right-form-union-1996-1997
Times Beach residents win fight for relocation from contaminated dioxin sites,"To relocate all residents living in the town of Times Beach, MO.",,"29 January, 1983 to 11 December, 1995",['United States'],"Times Beach, Missouri",,['Local Community or Neighborhood-level Campaign'],"['005. Declarations of indictment and intention', '006. Group or mass petitions', '008. Banners, posters, and displayed communications', '010. Newspapers and journals', '012. Skywriting and earthwriting', '019. Wearing of symbols', '021. Delivering symbolic objects', '026. Paint as protest', '032. Taunting officials', '038. Marches', '044. Mock funerals', '047. Assemblies of protest or support', '121. Refusal of public support', '172. Nonviolent obstruction']","['001. Public speeches', '008. Banners, posters, and displayed communications', '010. Newspapers and journals', '029. Symbolic reclamations', '047. Assemblies of protest or support', '121. Refusal of public support', '158. Self-exposure to the elements', '170. Nonviolent invasion']","['015. Group lobbying', '047. Assemblies of protest or support', '121. Refusal of public support']","['047. Assemblies of protest or support', '121. Refusal of public support']","['047. Assemblies of protest or support', '121. Refusal of public support']","['010. Newspapers and journals', '011. Records, radio, and television', '019. Wearing of symbols', '121. Refusal of public support', '158. Self-exposure to the elements', '170. Nonviolent invasion', '172. Nonviolent obstruction', '173. Nonviolent occupation']",,28 months,"Times Beach Action Group, Steve Taylor","Gateway Green Alliance, Times Beach Environmental Task Force","Dioxin Incineration Response Group, Greenpeace, Sierra Club, Student Environmental Action Coalition","Senator Thomas McCarthy (R-Chesterfield), Representative Bill Linton (R-Grover), Representative James Murphy (R-Crestwood), Representative Paula Carter (D-St. Louis)","Environmental Protection Agency, Northeastern Pharmaceutical and Chemical Company (NEPACCO), Syntex Agribusiness Technologies, Russell Bliss, Independent Petrochemical Corporation (IPC)",No nonviolent responses of opponent.,No campaigner violence.,Police arrests at various protests.,"['Economic Justice', 'Environment', 'Human Rights']",['Change'],"['Environmentalists', 'Times Beach residents']","['Times Beach Action Group', 'Steve Taylor']",,,,,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"All residents of Times Beach were successfully relocated by the federal government. The EPA incinerated approximately 265,000 tons of dioxin from over 25 sites. The former Superfund site was transformed into Route 66 Sate Park.",https://nvdatabase.swarthmore.edu/content/times-beach-residents-win-fight-relocation-contaminated-dioxin-sites
"Chinese-Americans protest conviction of NYPD Officer Peter Liang, 2016","Repeal Peter Liang's conviction in the shooting of Akai Gurley.
Note: However, some supporters felt some measure of accountability was appropriate.",,"8 March, 2015 to 20 February, 2016",['United States'],New York City,Cadman Plaza in Brooklyn,"['(Mainly or Initiated by) People of Color', 'Included Innovative Organizational Forms/Communication Forms']","['008. Banners, posters, and displayed communications', '038. Marches', '047. Assemblies of protest or support']",,,,,"['002. Letters of opposition or support', '006. Group or mass petitions', '008. Banners, posters, and displayed communications', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']",,~58 days,"Coalition of Asian-Americans for Civil Rights (CAACR), Greater New York Coalition to Support Officer Liang, Chinese American Equalization Association",,"Taiwan Association of America, Lin Sing Association, at least 50 Chinese-American associations across the US involved","Councilman Mark Treyger, Assemblyman William Colton, Senator Marty Golden, Assemblyman Peter J. Abbate Jr.","New York State Supreme Court, Brooklyn Supreme Court Justice Danny Chun",,No campaigner violence,No repressive violence,['Human Rights'],['Defense'],"['Chinese-Americans', 'Asian-Americans']","['Assemblyman William Colton', 'Assemblyman Peter J. Abbate Jr.', 'Coalition of Asian-Americans for Civil Rights (CAACR)', 'Greater New York Coalition to Support Officer Liang', 'Chinese American Equalization Association']",,,,,['Senator Marty Golden'],4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,"The success of this campaign is unclear due to the divisions within the demonstration group. While many Liang supporters wanted all charges dropped, some Liang supporters believed that Liang should be held accountable to a certain extent, but not for manslaughter. It is also unclear to what degree these protests influenced Judge Danny Chun’s decision to lessen Liang’s conviction.",https://nvdatabase.swarthmore.edu/content/chinese-americans-protest-conviction-nypd-officer-peter-liang-2016
